Dosya Adı,Etiket,SRO,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19
NON AI COVER_24_271.wav,NON AI COVER,0.06602267573696145,1907.9938227586667,2439.5428008957674,4458.5693359375,-161.60677,106.003365,16.240683,24.598984,-8.174395,11.060207,13.434554,7.92692,2.8299656,10.595562,-4.444976,-6.5684376,-8.126293,-1.7581052,-8.759983,5.012244,-3.7494466,0.42447394,1.4023085,3.388648
NON AI COVER_17_158.wav,NON AI COVER,0.17966439909297052,3709.729953722026,3225.402734818627,7833.6496988932295,-44.96834,32.542805,23.09187,37.606606,31.288004,11.162963,0.7325072,10.414952,3.4946063,7.5576386,1.230143,-4.096107,0.31870225,3.3988433,-0.79215837,6.417684,0.09581799,6.9732323,2.8563995,0.72180885
NON AI COVER_8_204.wav,NON AI COVER,0.09003174603174603,2283.7608917839093,2398.493419661186,4882.8033447265625,-94.22861,64.945595,-9.113092,34.603565,9.644029,16.735525,3.2740355,17.02124,2.4844239,11.254107,10.668306,9.599304,5.102171,10.751079,6.9511075,10.281867,2.7420847,0.51722324,-3.733624,4.1879764
NON AI COVER_23_70.wav,NON AI COVER,0.16552380952380952,3010.7091504148416,2633.085132399842,5848.9064534505205,29.68739,57.869476,-18.320204,32.545235,10.521706,14.548976,8.036914,5.1789126,5.8876796,3.460191,-1.8446909,7.640165,-4.0412774,-3.0333388,-0.51183355,4.045789,-1.8390602,0.3069908,-1.3147806,3.3375483
NON AI COVER_8_112.wav,NON AI COVER,0.13099319727891157,2754.0811093945204,2710.582160400599,5871.187337239583,-32.721188,80.22682,2.4373016,18.24204,2.1563041,4.3273244,2.8004777,2.2482805,-3.587285,9.847182,-8.603064,4.8641386,-6.0295625,4.041383,-3.9293804,-0.24318355,-6.530729,-4.5292487,-6.9419613,-0.12220319
NON AI COVER_19_81.wav,NON AI COVER,0.06854421768707483,1911.593279153371,2364.001965009152,4253.4556070963545,-140.2614,92.959946,12.315388,51.862938,23.65978,9.631056,-6.301702,14.350883,-3.350764,8.063799,4.0833817,-0.10466399,3.7855425,1.4741461,-6.44049,2.02548,-1.1860934,3.865213,-1.5092711,0.06500386
NON AI COVER_23_161.wav,NON AI COVER,0.15705215419501134,3044.183699871795,2566.3348769664426,5831.6599527994795,-48.97972,42.16753,-16.802237,53.537914,16.267122,7.9724607,4.7787433,16.701307,5.859073,12.673403,5.8861732,3.8172324,-0.5145294,-1.049869,-5.7753034,-3.5143108,-11.9406185,-2.801796,-7.42936,-3.8214874
NON AI COVER_24_74.wav,NON AI COVER,0.06650340136054422,1508.4281029299436,1879.593963474716,3195.537312825521,-159.86429,135.18057,-12.228698,31.036295,-5.352882,16.969828,1.6582718,7.7668414,-13.176384,1.3628639,-6.124516,6.3444247,-1.2683648,8.2686615,-7.1030183,-4.520847,-11.169458,3.2797499,-1.9469018,-3.3497071
NON AI COVER_23_311.wav,NON AI COVER,0.17992743764172336,3073.8573282201596,2533.668595044297,5839.6352132161455,-74.82093,47.753754,-20.201164,46.471924,12.262487,4.868929,-4.2518153,10.642329,3.9092808,9.556704,1.7219622,0.89522785,-0.865837,-0.19899961,-6.1971016,-1.3364385,-8.262273,-1.5753031,-0.8312535,2.358692
NON AI COVER_23_178.wav,NON AI COVER,0.1687981859410431,2906.2745028038366,2331.0120794519794,5329.069010416667,-84.79278,51.109238,-23.224989,62.43384,1.3233176,17.565567,6.8370843,12.571997,-3.0135007,0.18085678,1.8036871,5.0175147,-5.8545327,-4.6031327,-8.872737,-4.83758,-10.234678,-2.9809096,-5.107379,-5.272424
NON AI COVER_15_58.wav,NON AI COVER,0.07610884353741497,2145.7347359947885,2771.7056858101228,5183.1715901692705,-190.23401,87.71895,31.091887,33.408478,36.224224,-12.055302,0.85717547,16.8026,0.13484757,21.428495,-0.39927745,-5.8172374,-6.423226,-8.020021,-10.3195715,-2.8112805,-0.69775724,-3.1469219,1.2188176,2.4483778
NON AI COVER_17_32.wav,NON AI COVER,0.11597278911564626,2376.357970608861,2521.777514986284,4774.9379475911455,-159.22304,86.54174,-14.275897,25.820164,12.55371,-4.4973817,12.582043,-3.6270447,-1.4647031,10.350277,1.107525,7.2216015,-0.30362642,0.102041736,-4.3975177,3.5634766,-5.474869,4.1120563,-1.113145,-0.49023774
NON AI COVER_10_75.wav,NON AI COVER,0.15845804988662132,3099.026634916185,2578.323861379485,6094.5444742838545,-99.4936,52.46697,-28.45826,12.308752,-2.1700888,13.893574,-1.1395088,0.26274112,-5.096207,6.4720836,3.997122,3.59672,-7.6013317,-4.549166,-2.9870543,5.6841764,-1.2296854,0.55864346,-4.7376585,5.2438946
NON AI COVER_10_152.wav,NON AI COVER,0.12098866213151928,1804.7682806700705,1993.0133458156556,3602.574666341146,-121.96354,110.82407,-9.138344,33.89352,6.765533,22.745216,-7.848617,0.6384036,-4.769183,9.482749,3.362006,4.5683694,-7.9294257,-0.8738857,-5.0932355,6.123328,-1.7540803,2.1182415,-3.5736616,5.1124005
NON AI COVER_19_4.wav,NON AI COVER,0.10005442176870748,2086.9661681848174,2153.601251720265,3912.6627604166665,-53.34107,90.48452,-41.844646,22.687708,28.558731,19.48433,2.4029067,13.4463415,14.4879675,13.226515,11.297803,3.3531291,0.026754592,-4.3713493,-8.678114,2.8710191,1.271948,4.5855656,7.8322945,9.500955
NON AI COVER_23_121.wav,NON AI COVER,0.14369160997732427,2778.3385968591256,2396.5228364413715,5307.0871988932295,-8.795454,57.781387,-25.175013,50.492897,12.06615,19.306534,5.422337,14.535551,-0.43535057,8.297887,7.103645,4.569164,-0.122992836,-0.2687452,-3.178239,-1.4177421,-10.125542,-2.9641576,-6.139036,-1.4051536
